题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注,题目ID
诚为枉法营私，原王章所不宥；要知______，亦圣道之大同。★清·文康《儿女英雄传》第三十五回,安老怀少,卬首信眉,百年树人,奔走呼号,A,释义：安安顿；怀关怀。尊重老人，使其安逸；关怀年轻人，使其信服。。原始资料成语：安老怀少。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-053
开会要事先通知，像出______一样，让大家知道要讨论什么问题，解决什么问题，并且早做准备。★毛泽东《党委会的工作方法》,昂首天外,安民告示,百鸟朝凤,本来面目,B,释义：安定人心的布告。现也指把要商量的或要办的事情预先通知大家。。原始资料成语：安民告示。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-054
______之大经，富国强兵之远略。★孙中山《上李鸿章书》,昂首望天,百身何赎,安内攘外,本末倒置,C,释义：攘排除。原就药的疗效而言◇多指安定内部，排除外患。。原始资料成语：安内攘外。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-055
劝人______是古今治国平天下的大经络，开过的方子也很多，但都没有十全大补的功效。★鲁迅《花边文学·安贫乐道法》,昂头挺胸,百身莫赎,笨鸟先飞,安贫乐道,D,释义：道主张，思想。安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。。原始资料成语：安贫乐道。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-056
只求处士每岁元旦，作一朱幡，上图日月五星之文，立于苑东，吾辈则安然无恙矣。★明·冯梦龙《醒世恒言》第四卷，最恰当的成语是______。,安然无恙,昂霄耸壑,百世之师,绷扒吊拷,A,释义：恙病。原指人平安没有疾病。现泛指事物平安未遭损害。。原始资料成语：安然无恙。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-057
李世绩之______也，置父于窦建德之刃下而不恤。★清·王夫之《读通鉴论·唐高宗》,嗷嗷待哺,安忍无亲,百兽率舞,逼上梁山,B,释义：安忍习于残忍，不以为异。安心于做残忍的事情，因而无所谓亲人。。原始资料成语：安忍无亲。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-058
立宪国皇室所以______者，道皆在是也。★清·梁启超《责任内阁释义》,聱牙佶屈,百岁千秋,安如盘石,鼻青眼肿,C,释义：安安稳；盘石大石头。像盘石一样安稳不动。形容非常稳固，不可动摇。。原始资料成语：安如盘石。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-059
立宪国皇室所以______，道皆在是也。★清·梁启超《责任内阁释义》,謷牙诘屈,百无禁忌,匕鬯不惊,安如磐石,D,释义：磐石大石头。如同磐石一般安然不动。形容非常稳固。。原始资料成语：安如磐石。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-060
那里是镇守边庭，用人之际，足可以______。★明·施耐庵《水浒全传》第二回,安身立命,鳌掷鲸吞,百无聊赖,比比皆是,A,释义：安身在某处安下身来；立命精神有所寄托。指生活有着落，精神有所寄托。。原始资料成语：安身立命。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-061
自古道______。”说了离乡背井，那一个不怕的。★明·冯梦龙《东周列国志》第七十八回,傲睨万物,安土重迁,百无是处,比户可封,B,释义：土乡土；重看得重，不轻易。安于本乡本土，不愿轻易迁移。。原始资料成语：安土重迁。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-062
______，祸福相生”，事之由妄想而成者，岂独胚胎然哉？★章炳麟《菌说》,傲睨一切,百无一是,安危相易,比肩而立,C,释义：易变易，转变。平安与危难互为因果，相互转换。。原始资料成语：安危相易。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-063
自己便______，在寺里住下。★清·吴趼人《九命奇冤》第二十五回,傲睨一世,百依百从,比肩继踵,安心乐意,D,释义：原指心情安宁，情绪愉快◇多指内心情愿，十分愉快。。原始资料成语：安心乐意。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-064
操曰吾料吕布有勇无谋，不足虑也。”教且______，再做商议。★明·罗贯中《三国演义》第十一回,安营下寨,傲睨自若,百依百顺,比权量力,A,释义：安、下建立，安置；寨防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。。原始资料成语：安营下寨。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-065
打什么地方进兵，打什么地方退兵，什么地方可以______，什么地方可以埋伏，指手画脚的讲了一通。★清·李宝嘉《官场现形记》第十四回,傲雪凌霜,安营扎寨,百战不殆,比屋而封,B,释义：安、扎建立，安置；寨防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。。原始资料成语：安营扎寨。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-066
孔子见疏，必弃鲁国而适他国，君可______矣。★明·冯梦龙《东周列国志》第七十九回,傲雪欺霜,百折不回,安枕而卧,比屋可封,C,释义：放好枕头睡大觉。比喻太平无事，不必担忧。。原始资料成语：安枕而卧。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-067
第二天宝小姐酒醒，很觉得过意不去◇来彼此熟了，见瞿太太常常如此，也就______了。★清·李宝嘉《官场现形记》第三十八回,八百孤寒,百折不挠,比翼连枝,安之若素,D,释义：安安然，坦然；之代词，指人或物；素平常。安然相处，和往常一样，不觉得有什么不合适。。原始资料成语：安之若素。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-068
恐王侄一路远来，______，故令王侄回营安歇。★清·钱彩《说岳全传》第四二回,鞍马劳顿,八拜之交,百折不屈,比翼齐飞,A,释义：顿困顿。骑马赶路过久，劳累疲困。形容旅途劳累。。原始资料成语：鞍马劳顿。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-069
唐铉说此话以后再说。请到那边入座，少饮几杯水酒，以解二位______。”★姚雪垠《李自成》第三卷第三十四章,八窗玲珑,鞍马之劳,败不旋踵,比翼双飞,B,释义：鞍马鞍子和马，指长途跋涉或打仗。形容旅途或战斗的劳苦。。原始资料成语：鞍马之劳。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-070
又听得寨前炮响，史文恭______，只要等他入来，塌了陷坑，山后伏兵齐起，接应捉人。★明·施耐庵《水浒全传》第六十八回,八方呼应,稗官野史,按兵不动,彼此彼此,C,释义：按止住。使军队暂不行动。现也比喻暂不开展工作。。原始资料成语：按兵不动。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-071
学校却，没有这弊病。★鲁迅《书信集·致陶亢德》，最恰当的成语是______。,八面玲珑,班班可考,彼竭我盈,按步就班,D,释义：指按照条理或遵循一定的程序。参见按部就班”。。原始资料成语：按步就班。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-072
但黄公俊的祖父，他开始读了书，象一般读书人似的，他______的要将八股型的才学，货与帝王家”。★郑振铎《黄公俊之最后》,按部就班,八面威风,班荆道故,笔伐口诛,A,释义：部、班门类，次序；就归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。。原始资料成语：按部就班。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-073
每见一班______者，多失于骊黄牝牡。★明·赵沺《葬书问对》,八万四千,按图索骥,班荆道旧,笔墨官司,B,释义：索找；骥良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。。原始资料成语：按图索骥。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-074
虽部胥掌阙簿者，亦不过______。★宋·周密《癸辛杂识续集下·卖阙沈官人》,八仙过海,班马文章,按图索骏,笔扫千军,C,释义：指按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。参见按图索骥”。。原始资料成语：按图索骏。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-075
一应公事，张令都听他决断。真是______，狱无冤刑，民心大悦。★清·黄小配《洪秀全演义》,八音迭奏,班门弄斧,币重言甘,案无留牍,D,释义：桌案上没有积压的公文。形容办理公务干练、及时。。原始资料成语：案无留牍。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-076
臣已算定今番诸葛亮必效韩信______之计。★《三国演义》第九六回,暗度陈仓,八音遏密,班师回朝,必不得已,A,释义：指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。。原始资料成语：暗度陈仓。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-077
日本政府，向来主张______，我国虽尚守中立，未曾加入协约团体，但日本如此举动，本使也很不赞成。★蔡东藩《民国演义》第六十回,八字打开,暗度金针,班衣戏彩,必也正名,B,释义：度通渡”，过渡，引申为传授◇用于比喻秘诀。又借指幕后交易。。原始资料成语：暗度金针。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-078
孤家用韩信之计，明修栈道，______，攻定三秦，动取五国。★元·无名氏《气英布》第一折,巴巴结结,斑驳陆离,暗渡陈仓,必由之路,C,释义：渡越过；陈仓古县名，在今陕西省宝鸡市东。比喻用造假象的手段来达到某种目的。也隐喻男女私通。。原始资料成语：暗渡陈仓。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-079
有荼毒生灵的强盗，有______的强盗。★清·李汝珍《镜花缘》第五十八回,巴人下里,斑衣戏彩,毕雨箕风,暗箭伤人,D,释义：放冷箭伤害人。比喻暗地里用某种手段伤害人。。原始资料成语：暗箭伤人。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-080
知县生平______，既读孔、孟之书，怎敢行盗跖之事？★明·冯梦龙《醒世恒言》卷十三,暗室不欺,拔本塞源,搬弄是非,闭关却扫,A,释义：在没有人看见的地方，也不做见不得人的事。。原始资料成语：暗室不欺。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-081
方信道暗室亏心，难逃他神目如电。★《元曲选·无名氏三》，最恰当的成语是______。,拔萃出群,暗室欺心,板上钉钉,闭关锁国,B,释义：在黑暗的屋子里昧着良心做坏事。指偷偷地做坏事。。原始资料成语：暗室欺心。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-082
对张（作霖）则______，对曹（锟）尤密切勾结。★蔡东藩、许廑父《民国通俗演义》第一二四回,拔地倚天,版筑饭牛,暗送秋波,闭关自守,C,释义：旧时比喻美女的眼睛象秋天明净的水波一样。指暗中眉目传情。。原始资料成语：暗送秋波。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-083
上自王后，下至弄臣，骇得凝结着的神色也应声活动起来，似乎感到______的悲哀。★鲁迅《故事新编·铸剑》,拔来报往,半壁江山,闭口捕舌,暗无天日,D,释义：昏暗得看不到天上的日光。形容在反动势力统治下社会的黑暗。。原始资料成语：暗无天日。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-084
两个站在小桥上，疏影暗香，自甘清冷，屋后山冈积雪如银，背着手玩赏。★清·陈忱《水浒后传》第十四回，最恰当的成语是______。,暗香疏影,拔茅连茹,半部论语,闭口无言,A,释义：暗香清幽的香气；疏影稀疏的枝影。原形容梅花的香味和姿态，后被用为梅花的代称。。原始资料成语：暗香疏影。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-085
先生有志于木刻，是极好的事，但访木刻家是无益的，因为就是已有成绩的木刻家，也还在______。★《鲁迅书信集·致沈振黄》,拔苗助长,暗中摸索,半筹不纳,闭门造车,B,释义：摸索寻求，探索。在黑暗中寻找◇比喻没有人指导，独自钻研。。原始资料成语：暗中摸索。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-086
但是这个电报却又引起了张勋的不愉快，因为，他的十三省盟主地位因此而______。★陶菊隐《北洋军阀统治时期史话》第二十四章,拔山盖世,半筹莫展,黯淡无光,闭门自守,C,释义：黯淡同暗淡”，不明亮，昏暗。形容失去光彩。。原始资料成语：黯淡无光。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-087
所有同类题材的绘画和它比较起来，都______。★秦牧《艺海拾贝·〈最后的晚餐〉》,拔山扛鼎,半间半界,闭目塞耳,黯然失色,D,释义：黯然心里不舒服、情绪低落的样子；失色因惊恐而变以脸色。本指心怀不好，脸色难看◇多比喻相形之下很有差距，远远不如。。原始资料成语：黯然失色。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-088
无言独上西楼”，深闺的空寥，弥漫在漠漠的冥色里，离情别绪，______！★郭枫《且饮一杯寂寞》,黯然销魂,拔十得五,半截入土,闭目塞听,A,释义：黯然心怀沮丧、面色难看的样子；销魂灵魂离开肉体。心怀沮丧得好象丢了魂似的。形容非常悲伤或愁苦。。原始资料成语：黯然销魂。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-089
随行逐队，则有持禄之讥；______，则有出位之戒，是亦何荣之有哉！★宋朱熹《答汪尚书书》,拔新领异,卬首信眉,半斤八两,闭月羞花,B,释义：信，通伸”。昂首伸眉。形容意气昂扬，不随波逐流。。原始资料成语：卬首信眉。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-090
某些人做事不从实际出发，往往______。,拔宅飞升,半路出家,昂首天外,毙而后已,C,释义：抬起头望着天边。形容态度傲慢，或做事脱离实际。。原始资料成语：昂首天外。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-091
要做这件事，第一是眼睛向下，不要只是______。★毛泽东《〈农村调查〉的序言和跋》,拔宅上升,半路修行,婢膝奴颜,昂首望天,D,释义：仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。。原始资料成语：昂首望天。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-092
你看！提到内战，就连妇人女子都反对啦……”______，老老师欣喜地叫出来。★沙汀《范老老师》,昂头挺胸,跋前踬后,半身不遂,婢作夫人,A,释义：抬起头，挺起胸膛。形容斗志高，士气旺。参见昂首挺胸”。。原始资料成语：昂头挺胸。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-093
昔余识夫人之子稚年，固已得其______之气。★宋·陈亮《祭叶正则母夫人文》,跋山涉水,昂霄耸壑,半生不熟,敝帚千金,B,释义：昂高；壑峪。高出霄汉，耸立山壑。形容才能杰出，建树宏大功业。也形容志气高昂，胸怀广阔。。原始资料成语：昂霄耸壑。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-094
文章尽可在别的刊物上发表，对于______的创造社的几种刊物却一字也不肯飞来。★郭沫若《学生时代·创造十年续编》,把素持斋,半死半生,嗷嗷待哺,敝帚自珍,C,释义：嗷嗷哀鸣声；待等待；哺喂食。饥饿时急于求食的样子。形容受饥饿的悲惨情景。。原始资料成语：嗷嗷待哺。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-095
我今赠君亦无物，但有______村田诗。★元·戴元表《剡源集·寿陈贵白,罢黜百家,半死不活,筚路蓝缕,聱牙佶屈,D,释义：聱牙不顺口；佶屈曲折。指文章读起来不顺口。。原始资料成语：聱牙佶屈。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-096
我今赠君亦无物，但有______村田诗。★元·戴元表《剡源集·寿陈贵白》,謷牙诘屈,霸王别姬,半途而废,筚门闺窦,A,释义：同诘屈聱牙”。謷，通聱”。诘屈同佶屈”，曲折，引申为不顺畅；謷牙读起来拗口、别扭。形容文字晦涩艰深，难懂难读。。原始资料成语：謷牙诘屈。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-097
至于杜之涵地负，韩之鳌掷鲸呿，尚有所未逮。★清宋荦《漫堂说诗》三，最恰当的成语是______。,白白朱朱,鳌掷鲸吞,半推半就,弊绝风清,B,释义：比喻文辞气势磅礴，跌宕起伏。亦作鳌掷鲸呿”。。原始资料成语：鳌掷鲸吞。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-098
……益自尊大，宝自有而______。★鲁迅《文化偏至论》,白璧青蝇,半信半疑,傲睨万物,弊帚千金,C,释义：睨斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。。原始资料成语：傲睨万物。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-099
更有那放荡不羁，______，偏低首下心，作儿女之态。★清·魏秀仁《花月痕》第一回,白璧三献,半夜三更,弊帚自珍,傲睨一切,D,释义：睨斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。。原始资料成语：傲睨一切。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-100
辽字睿达，幼挺拔不群，长而好学尚友，______。★《宋史·沈辽传》,傲睨一世,白璧微瑕,半疑半信,碧空如洗,A,释义：睨斜视。高傲地旁观，对当代的一切都不看在眼里。形容傲慢自负，目空一切。。原始资料成语：傲睨一世。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-101
简雍在城下唤门。（刘）璋令开门接入。雍坐在车中，傲睨自若。★明·罗贯中《三国演义》第六十五回，最恰当的成语是______。,白璧无瑕,傲睨自若,蚌鹬相持,碧落黄泉,B,释义：睨斜视；自若指满不在乎。形容自高自大、藐视一切的样子。。原始资料成语：傲睨自若。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-102
如松柏之性，______。★清·钱泳《履园丛话·谭诗·总论》,白发丹心,傍人门户,傲雪凌霜,蔽日遮天,C,释义：形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。。原始资料成语：傲雪凌霜。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-103
玉骨冰肌谁可匹，______夺第一。★元·吴昌龄《张天师》第三折,白发千丈,傍若无人,避难就易,傲雪欺霜,D,释义：形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。。原始资料成语：傲雪欺霜。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-104
