ID,成语,拼音,释义,例句,出处,来源说明,许可证,自动审核结果,人工审核状态
source-102,傲睨自若,ào nì zì ruò,睨斜视；自若指满不在乎。形容自高自大、藐视一切的样子。,简雍在城下唤门。（刘）璋令开门接入。雍坐在车中，傲睨自若。★明·罗贯中《三国演义》第六十五回,宋·王谠《唐语林·豪爽》郑太穆郎中为金州刺史，一日忽致书于襄阳于司空頴，其言恳切，而傲睨自若，似无郡僚之礼。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-103,傲雪凌霜,ào xuě líng shuāng,形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。,如松柏之性，～。★清·钱泳《履园丛话·谭诗·总论》,宋·杨无咎《柳梢青》傲雪凌霜，平欺寒力，搀借春光。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-104,傲雪欺霜,ào xuě qī shuāng,形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。,玉骨冰肌谁可匹，～夺第一。★元·吴昌龄《张天师》第三折,元·吴昌龄《张天师》梅花云我这梅花……玉骨冰肌谁可匹，傲雪凌霜夺第一。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-105,八百孤寒,bā bǎi gū hán,八百形容很多；孤寒指贫寒的读书人。形容人数众多，处境贫寒的读书人。也比喻贫寒之士失去依靠。,小谪陈芳现在身，人间何事敝精神。幔亭仙客休相待，～要此人。★清·黄景仁《两当轩集·十四·岁暮怀人》,五代·王定保《唐摭言·好放孤寒》八百孤寒齐下泪，一时南望李崖州。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-106,八拜之交,bā bài zhī jiāo,八拜原指古代世交子弟谒见长辈的礼节；交友谊。旧时朋友结为兄弟的关系。,今日在圣贤炉前成了～，有福同享，有马同骑。★清·李绿园《歧路灯》第二十回,宋·邵伯温《闻见后录》丰稷谒潞公，公着道出，语之曰汝父吾客也，只八拜。稷不得已，只拜之。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-107,八窗玲珑,bā chuāng líng lóng,①指四壁窗户轩敞，室内通彻明亮。②比喻通达明澈的修养境界。,而今须是要打破那黑底虚静，换做个白底虚静，则～，无不融通。★《朱子语类》卷一百,唐·卢纶《赋得彭祖楼送杨德宗归徐州幕》诗四户八窗明，玲珑逼上清。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-108,八方呼应,bā fāng hū yìng,呼应彼此声气相通。泛指周围、各地。形容各方面互通声气，互相配合。,中国申办奥运的计划一提出，立即八方呼应，群情激奋。,余秋雨《寂寞天柱山》三我认为，天柱山之所以能给古人一种居家感，一个比较现实的原因是它地处江淮平原，四相钩连，八方呼应，水陆交通畅达，虽幽深而无登高之苦，虽奇丽而无柴米之匮，总而言之，既宁静又方便。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-109,八面玲珑,bā miàn líng lóng,玲珑精巧细致，指人灵活、敏捷。本指窗户明亮轩敞◇用来形容人处世圆滑，待人接物面面俱到。,原来宝廷的为人，是～，却十分落拓。★清·曾朴《孽海花》第七回,唐·卢纶《赋得彭祖楼送杨宗德归徐州幕》诗四户八窗明，玲珑逼上清。”宋·夏元鼎《满庭芳》词虽是无为清静，依然要八面玲珑。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-110,八面威风,bā miàn wēi fēng,威风令人敬畏的气势。各个方面都很威风。形容神气足，声势盛。,年龄不到五十许，体态虽十分端丽，神情却八面威风。★清·曾朴《孽海花》第十二回,元·尚仲贤《单鞭夺槊》第四折圣天子百灵相助，大将军八面威风。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-111,八万四千,bā wàn sì qiān,本为佛教表示事物众多的数字，后用以形容极多。,～颠倒想，与君同付醉眠中。★宋·陆游《醉歌》,《法华经·宝塔品》若持八万四千法藏，十二部经，为人演说。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-112,八仙过海,bā xiān guò hǎi,相传八仙过海时不用舟船，各有一套法术。民间因有八仙过海，各显神通”的谚语◇以比喻各自拿出本领或办法，互相竞赛。,说得好，咱们就～吧！★老舍《茶馆》第一幕,明·无名氏《八仙过海》第二折则俺这八仙过海神通大，方显这众圣归山道法强，端的万古名扬。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-113,八音迭奏,bā yīn dié zòu,八音古代对乐器的统称；迭交互，轮流。八类乐器轮番演奏。表示器乐齐全，演奏场面盛大。,又有谓大八音匣者，与衣厢等。触其机，～，恍如有十数人弹唱焉。★清·淮阴百一居士《壶天录》卷中,《晋书·乐志下》八音迭奏，雅乐并作。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-114,八音遏密,bā yīn è mì,遏阻止；密寂静。各种乐器停止演奏，乐声寂静。旧指皇帝死后停乐举哀◇也用以形容国家元首之死。,奉梓南归四载迟，～寄哀思。★柳亚子《中山先生奉安大典志哀》,《尚书·舜曲》三载，四海遏密八音。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-115,八字打开,bā zì dǎ kāi,象八”字那样，撇、捺向两边分开。原意是放着正路不走，却走歪门邪道。也形容门路很宽。,这事已～，请大家多提建议。,宋·朱熹《与刘子澄书》圣贤已是八字打开了，但人自不领会，却向外狂走耳。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-116,巴巴结结,bā bā jiē jiē,①勉强，凑合。②勤恳；辛劳。③形容说话不流利。,他～地说不了几句。,①《京本通俗小说·错斩崔宁》光阴迅速，大娘子在家巴巴结结将近一年。”②《古今小说任·孝子烈性为神》任珪天明起来，辞了父亲入城去了。每日巴巴结结，早出晚回。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-117,巴人下里,bā rén xià lǐ,①即下里巴人。古代楚国流行的民间歌曲。用以称流俗的音乐。巴，古国名，在今四川东部一带，古为楚地。下里，乡里。②泛指粗俗的。,张寅道晚生末学，‘～’之词只好涂饰闾里，怎敢陈于老太师山斗之下。”★《平山冷燕》第十七回,南朝·梁简文帝《与湘东王书》故玉微金铣，反为拙目所嗤；《巴人下里》，更合郢中之听。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-118,拔本塞源,bá běn sè yuán,本根本，根源。拔起树根，塞住水源。比喻防患除害要从根本上打主意。,这也是个好办法，而且简单易行，不过还不是～之计。★郭沫若《郑成功》第五章,《左传·昭公九年》伯父若裂冠毁冕，拔本塞原，专弃谋主，虽戎狄其何有余一人。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-119,拔萃出群,bá cuì chū qún,拔超出。萃原谓草丛生的样子，引伸为聚集，指聚集在一处的人或物。超出一般，在众人之上。,曾不能～，扬芳飞文，登天庭，序彝伦，扫六合之秽。★汉·蔡邕《释诲》,《孟子·公孙丑上》出于其类，拔乎其萃，自生民以来，未有盛于孔子也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-120,拔地倚天,bá dì yǐ tiān,拔突出，耸出。倚倚傍，贴近。从地面突兀而起，贴近天际。比喻高大突出，气势雄伟。,那悬崖之上，一株株苍松翠柏～，傲然屹立。,唐·孙樵《与王霖秀才书》譬玉川子《月蚀诗》、杨司城《华山赋》、韩吏部《进学解》……莫不拔地倚天，句句欲活。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-121,拔来报往,bá lái fù wǎng,报通赴”，迅速≤快地来，很快地去。形容频繁地奔来奔去。,少顷，以足床来，置地上，促客坐；又入，携短足几至，～，蹀躞甚劳。★清·蒲松龄《聊斋志异·阿纤》,《礼记少仪》毋拔来，毋报往。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-122,拔茅连茹,bá máo lián rú,茅白茅，一种多年生的草；茹植物根部互相牵连的样子。比喻互相推荐，用一个人就连带引进许多人。,袁既病死，黎、段登台，～，弹冠相庆，徐遂入任为院秘书长。★蔡东藩、许廑父《民国通俗演义》第七十九回,《周易·泰》拔茅茹以其汇。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-123,拔苗助长,bá miáo zhù zhǎng,比喻违反事物发展的客观规律，急于求成，反而坏事。,那种不顾学生能否接受的填鸭式的教学方法，无异于～。,《孟子·公孙丑上》宋人有闵其苗之不长而揠之者，茫茫然归，谓其人曰‘今日病矣，予助苗长矣。’其子趋而往视之，苗则槁矣。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-124,拔山盖世,bá shān gài shì,盖世超越天下人，世上第一。力能拔掉大山，形容力大勇猛，当代无比。,则～之雄，几乎其为若敖之鬼矣。★明·张岱《募造无主祠堂疏》,《史记·项羽本纪》于是项王乃悲歌慷慨，自为诗曰‘力拔山兮气盖世，时不利兮骓不逝。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-125,拔山扛鼎,bá shān gāng dǐng,扛双手举起。拔起大山，举起重鼎。形容力气很大。,汉祖入关破秦而楚后之～，力大过人。★宋·邵雍《皇极经世绪言》第二卷,《史记·项羽本纪》力能扛鼎，才气过人。”又于是项王乃悲歌慷慨，自为诗曰‘力拔山兮气盖世，时不利兮骓不逝。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-126,拔十得五,bá shí dé wǔ,拔盐，推荐。想盐十个，结果只选得五个。指盐人才不容易。,谓～而可得其半，故匿瑕含垢而求其长致。★宋陈师道《谢胡运使启》,《新唐书·张九龄传》夫吏部尚书、侍郎，以贤而授者也，岂不能知人？如知之难，拔十得五，斯可矣。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-127,拔新领异,bá xīn lǐng yì,拔抽出；新新意；领具有；异指独特之处。指创立新意，提出独特的见解。,公风神英迈，意气倾倒，～之谈，登峰造极之理，萧然如晋、宋间人物。★宋·杨万里《石湖先生大资参政范公文集序》,南朝·宋·刘义庆《世说新语·文学》支道林拔新领异，胸怀所及乃自佳，卿欲见不？”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-128,拔宅飞升,bá zhái fēi shēng,拔拔起；宅住宅。古代传说修道的人全家同升仙界。参见拔宅上升”。,生曰得卿如此，吾何忧！顾念一人得道，～。余将远逝，一切付之于卿。”★清薄松龄《聊斋志异·白于玉》,语出《太平广记》卷十四引《十二真君传·许真君》真君以东晋孝武帝太康二年八月一日，于洪州西山，举家四十二口，拔宅上升而去。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-129,拔宅上升,bá zhái shàng shēng,拔拔起；宅住宅。古代传说修道的人全家同升仙界。,秋先，汝功行圆满，吾已申奏上帝，有旨封汝为护花使者，专管人间百花。令汝～。★明·冯梦龙《醒世恒言》卷四,《太平广记》卷十四引《十二真君传·许真君》真君以东晋孝武帝太康二年八月一日，于洪州西山，举家四十二口，拔宅上升而去。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-130,跋前踬后,bá qián zhì hòu,跋踩；踬被绊倒。本指狼向前进就踩住了自己的颈肉，向后退又会被自己的尾巴绊倒。比喻进退两难。,无事之时，望影藏匿，～，日不聊生。★清·纪昀《阅微草堂笔记·滦阳续录,《诗经·豳风·狼跋》狼跋其胡，载痜其尾。”唐·韩愈《昌黎集·卷十二·近学解》然而公不见信于人，私不见助于友。跋前踬后，动辄得咎”。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-131,跋山涉水,bá shān shè shuǐ,跋山翻过山岭；涉水用脚趟着水渡过大河。翻山越岭，趟水过河。形容走远路的艰苦。,同样的青春，同样的年龄，有人～，为改变祖国一穷二白的面貌而感到莫大的幸福。★魏巍《路标》,《诗经·鄘风·载驰》大夫跋涉，我心则忧。”《左传·襄公二十八年》跋山涉水，蒙犯霜露。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-132,把素持斋,bǎ sù chí zhāi,把遵守。斋斋戒。指信佛者遵守吃素，坚持戒律。,人人善念看经，个个～。★明·无名氏《万国来朝》第一折,元·无名氏《女姑姑》三折念佛心把素持斋，不食荤啖柏。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-133,罢黜百家,bā chù bǎi jiā,罢黜废弃不用。原指排除诸子杂说，专门推行儒家学说。也比喻只要一种形式，不要其他形式。,……只认朗诵词和诗。笔者却不能够赞成这～”的作风★朱自清《论朗诵诗》,《汉书·武帝纪赞》孝武初立，卓然罢黜百家，表章《六经》。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-134,霸王别姬,bà wáng bié jī,姬指西楚霸王项羽的宠妾虞姬。形容英雄末路的悲壮情景。现多比喻独断专行，脱离群众，最终垮台。,不是有一出戏叫《～》吗？这些同志如果总是不改，难免有一天要别姬”就是了。★毛泽东《在扩大的中央工作会议上的讲话》,《史记·项羽本纪》记载霸王项羽在和刘邦夺封建统治权的战争中，最后兵败，自知大势已去，在突围前夕，不得不和虞姬决别。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-135,白白朱朱,bái bái zhū zhū,白的白，红的红。形容不同种类、色彩各异的花木。,风风雨雨又春穷，～已眼空。★宋·杨万里《又和风雨二首》,唐·韩愈《感春三首》诗晨游百花林，朱朱兼白白。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-136,白璧青蝇,bái bì qīng yíng,白璧洁白的玉，比喻清白的人。青蝇比喻佞人。比喻善恶忠佞。,为臣子莫贵忠和孝，继美于今有凤毛，～何足较。★《群音类选》,唐·陈子昴《胡楚真禁所》诗青蝇一相点，白璧遂成冤。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-137,白璧三献,bái bì sān xiàn,楚人和氏得玉璞，两献楚王，两遭刖足。第三次王使治璞，得白玉，琢以为璧，世称和氏璧”。比喻不识良材或怀才不遇。,明珠暗投反按剑，～还遭刖。★明·何景明《田子行》,见《韩非子·和氏》。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-138,白璧微瑕,bái bì wēi xiá,洁白的玉上有些羞点。比喻很好的人或物有些小缺点，美中不足。,智者千虑，必有一失，然而这小毛病只是～而已。,南朝·梁·萧统《陶渊明集序》白璧微瑕，惟在《闲情》一赋。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-139,白璧无瑕,bái bì wú xiá,洁白的美玉上面没有一点羞。比喻人或事物完美无缺。,虽以小姐～，何畏乎青蝇，然青蝇日集亦可憎恨耳。★明·名教中人《好俅传》第七回,宋·释道原《景德传灯录》卷十三问‘不曾博览空王教略，借玄机试道看。’师曰‘白玉无瑕，卞和刖足。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-140,白发丹心,bái fà dān xīn,丹心赤诚之心。形容年迈苍老，仍然怀有一颗赤诚之心。,牧羊驱马虽戎服，～尽汉臣。★唐·杜牧《河湟》诗,《汉书·苏武传》记载苏武出使匈奴，被扣十九年，丹心一片，及还，须发皆白的故事。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-141,白发千丈,bái fà qiān zhàng,形容头发既白且长，表示人因愁思过重而容颜衰老。,凡此诸人，今皆安往？我虽独存，～。★宋·刘克庄《后村全集·祭林寒斋文》第一百三十八卷,唐·李白《秋浦歌》诗白发三千丈，缘愁似个长。不知明镜里，何处得秋霜。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-142,白圭之玷,bái guī zhī diàn,白玉圭上的一个斑点。比喻人或物大体很好，只是有些小缺点。,也不过～，并非晚节不终。★鲁迅《且介亭杂文末编·关于太炎先生二三事》,《诗经·大雅·抑》白圭之玷，尚可磨也；斯言之玷，不可为也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-143,白虹贯日,bái hóng guàn rì,白色的长虹穿日而过。古人认为人间有不平凡的事，就会引起这种天象的变化。实际上这不是虹而是晕，是一种大气光学现象。,且休说～，青龙藏池。★元·王实甫《丽春堂》第二折,《战国策·魏策四》聂政之刺韩傀也，白虹贯日。”《史记·鲁仲连邹阳列传》昔者荆轲慕燕丹之义，白虹贯日，太子畏之。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-144,白驹过隙,bái jū guò xì,白驹白色骏马，比喻太阳；隙缝隙。象凶马在细小的缝隙前跑过一样。形容时间过得极快。,～，日月穿梭，才见梅开腊底，又早天气回阳。★明·兰陵笑笑生《金瓶梅词话》第二回,《庄子·知北游》人生天地之间，若白驹之过卻，忽然而已。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-145,白龙鱼服,bái lóng yú fú,鱼服穿起鱼的外衣。白龙化为鱼在渊中游。比喻帝王或大官吏隐藏身分，改装出行。,相公～，隐姓潜名。倘或途中小辈不识高低，有毁相公者，何以处之？★明·冯梦龙《警世通言》卷四,汉·刘向《说苑·正谏》昔日龙下清冷之渊，化为鱼，渔者豫且射中其目。” 汉·张衡《东京赋》白龙鱼服，见困豫且。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-146,白面书生,bái miàn shū shēng,指缺乏阅历经验的读书人。也指面孔白净的读书人。,雪儿呵，偏则把～奚落。★明·汤显祖《牡丹亭》第二十二出,《宋书·沈庆之传》陛下今欲伐国，而与白面书生辈谋之，事何由济。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-147,白日飞升,bái rì fēi shēng,犹白日升天。道教谓人修炼得道后，白昼飞升天界成仙◇喻指一朝显贵。,左壁挂‘黄鹤楼～’，右壁悬‘洞庭湖三番渡过’。★明·兰陵笑笑生《金瓶梅词话》第三九回,《全元散曲·喜春来》黄金转世人何在，白日飞升谁见来。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
